Year,Destination,Origin,Refugees,Total_Population
2016,Kenya,Afghanistan,8,8
2016,Nauru,Afghanistan,41,48
2016,Brazil,Afghanistan,98,132
2016,Philippines,Afghanistan,12,14
2016,Senegal,Afghanistan,8,9
2016,Thailand,Afghanistan,54,73
2016,Sudan,Afghanistan,6,6
2016,Fiji,Afghanistan,7,7
2016,Indonesia,Afghanistan,4379,7176
2016,Mauritania,Afghanistan,0,7
2016,India,Afghanistan,7693,12067
2016,Cuba,Afghanistan,45,45
2016,Mexico,Afghanistan,*,8
2016,United Arab Emirates,Afghanistan,0,18
2016,Egypt,Afghanistan,14,35
2016,Australia,Afghanistan,9217,11294
2016,South Africa,Afghanistan,6,6
2016,Nepal,Afghanistan,59,59
2016,Pakistan,Afghanistan,1352160,1737882
2016,Colombia,Afghanistan,8,8
2016,Jordan,Afghanistan,8,17
2016,Iraq,Afghanistan,11,144
2016,Afghanistan,Afghanistan,0,1911772
2016,Lebanon,Afghanistan,22,29
2016,Cyprus,Afghanistan,7,16
2016,Malta,Afghanistan,*,8
2016,China,Afghanistan,*,23
2016,Japan,Afghanistan,49,49
2016,Argentina,Afghanistan,5,7
2016,Chile,Afghanistan,13,13
2016,Turkey,Afghanistan,3423,118116
2016,Greece,Afghanistan,11440,15657
2016,Tajikistan,Afghanistan,2711,3261
2016,Turkmenistan,Afghanistan,19,19
2016,Portugal,Afghanistan,14,25
2016,Spain,Afghanistan,235,350
2016,Azerbaijan,Afghanistan,562,780
2016,New Zealand,Afghanistan,41,46
2016,Kyrgyzstan,Afghanistan,242,314
2016,Uzbekistan,Afghanistan,26,27
2016,Italy,Afghanistan,16033,17959
2016,Georgia,Afghanistan,*,12
2016,Bulgaria,Afghanistan,170,7806
2016,Montenegro,Afghanistan,0,21
2016,Croatia,Afghanistan,39,179
2016,Kazakhstan,Afghanistan,599,686
2016,Romania,Afghanistan,129,130
2016,Slovenia,Afghanistan,36,129
2016,France,Afghanistan,7685,11865
2016,Switzerland,Afghanistan,5675,13436
2016,Hungary,Afghanistan,1008,2400
2016,Mongolia,Afghanistan,*,5
2016,Liechtenstein,Afghanistan,0,7
2016,Austria,Afghanistan,20220,50003
2016,Slovakia,Afghanistan,287,287
2016,Ukraine,Afghanistan,1497,4406
2016,Luxembourg,Afghanistan,43,275
2016,Malaysia,Afghanistan,252,706
2016,Belgium,Afghanistan,3201,9658
2016,Germany,Afghanistan,46292,172814
2016,Poland,Afghanistan,92,100
2016,Netherlands,Afghanistan,5791,7463
2016,United Kingdom,Afghanistan,9752,12545
2016,Belarus,Afghanistan,227,234
2016,Ireland,Afghanistan,222,338
2016,Denmark,Afghanistan,2364,3919
2016,Lithuania,Afghanistan,199,214
2016,Latvia,Afghanistan,44,54
2016,Estonia,Afghanistan,23,23
2016,Papua New Guinea,Afghanistan,28,30
2016,Canada,Afghanistan,3177,3633
2016,Sweden,Afghanistan,16558,50775
2016,Finland,Afghanistan,2216,3202
2016,Iceland,Afghanistan,12,33
2016,Norway,Afghanistan,6568,9021
2016,Sri Lanka,Afghanistan,75,186
2016,Panama,Afghanistan,*,9
2016,Nigeria,Afghanistan,5,5
2016,Czech,Afghanistan,234,250
2016,Iran,Afghanistan,951142,953447
2016,South Korea,Afghanistan,33,41
2016,Moldova,Afghanistan,19,27
2016,Russia,Afghanistan,709,939
2016,Serbia,Afghanistan,3449,3519
2016,Syria,Afghanistan,1186,1466
2016,Macedonia,Afghanistan,*,5
2016,United States of America,Afghanistan,1466,2250
2016,Venezuela,Afghanistan,10,10
2016,Mexico,Albania,8,14
2016,Australia,Albania,58,129
2016,Argentina,Albania,18,18
2016,Greece,Albania,146,1616
2016,Spain,Albania,*,27
2016,Italy,Albania,458,853
2016,France,Albania,3568,8600
2016,Switzerland,Albania,67,151
2016,Liechtenstein,Albania,0,5
2016,Austria,Albania,93,193
2016,Luxembourg,Albania,82,242
2016,Belgium,Albania,534,902
2016,Germany,Albania,699,11957
2016,Netherlands,Albania,8,87
2016,United Kingdom,Albania,2256,4546
2016,Ireland,Albania,74,456
